39_cause_recode,month_of_death,count,total,percentage
31,09,39732,520221,7.637523283373797
31,10,42300,520221,8.131159641767633
31,11,42966,520221,8.259182155276315
31,12,47406,520221,9.112665578667528
32,01,911,10239,8.897353257154018
32,02,829,10239,8.096493798222482
32,03,850,10239,8.301591952339097
32,04,830,10239,8.10626037698994
32,05,793,10239,7.7448969625940025
32,06,835,10239,8.15509327082723
32,07,895,10239,8.741087996874695
32,08,804,10239,7.8523293290360385
32,09,846,10239,8.262525637269265
32,10,892,10239,8.711788260572321
32,11,866,10239,8.45785721261842
32,12,888,10239,8.67272194550249
33,01,11570,142847,8.099575069829958
33,02,10898,142847,7.629141669058503
33,03,12273,142847,8.591710011410811
33,04,12203,142847,8.542706532163784
33,05,12591,142847,8.814325817133016
33,06,12088,142847,8.462200816257955
33,07,12404,142847,8.683416522573102
33,08,12342,142847,8.64001344095431
33,09,11731,142847,8.212283072098119
33,10,12028,142847,8.420197834046217
33,11,11271,142847,7.8902602084748015
33,12,11448,142847,8.014169005999426
34,01,9853,110071,8.951494944172397
34,02,9172,110071,8.332803372368744
34,03,9828,110071,8.928782331404275
34,04,9129,110071,8.293737678407572
34,05,9164,110071,8.325535336282945
34,06,8719,110071,7.921250829010367
34,07,8759,110071,7.957591009439362
34,08,9104,110071,8.271025065639451
34,09,8675,110071,7.881276630538471
34,10,9210,110071,8.36732654377629
34,11,9012,110071,8.187442650652761
34,12,9446,110071,8.581733608307365
35,01,2026,21919,9.243122405219216
35,02,1853,21919,8.453852821752818
35,03,1917,21919,8.745836945116109
35,04,1894,21919,8.640905150782425
35,05,1925,21919,8.782334960536522
35,06,1685,21919,7.687394497924176
35,07,1637,21919,7.468406405401707
35,08,1671,21919,7.623522970938455
35,09,1739,21919,7.933756102011953
35,10,1868,21919,8.522286600666089
35,11,1829,21919,8.344358775491582
35,12,1875,21919,8.55422236415895
36,01,34022,378855,8.980216705599767
36,02,30609,378855,8.07934434018292
36,03,32510,378855,8.581119425637777
36,04,31154,378855,8.223198849163929
36,05,30227,378855,7.978514207282469
36,06,29074,378855,7.674176135988703
36,07,30237,378855,7.98115373955735
36,08,30217,378855,7.975874675007589
36,09,29426,378855,7.76708767206451
36,10,31616,378855,8.345145240263426
36,11,32872,378855,8.676670493988466
36,12,36891,378855,9.737498515263097
37,01,460831,4870661,9.461364689515447
37,02,414413,4870661,8.508352357103071
37,03,445105,4870661,9.138492701503964
37,04,403835,4870661,8.291174442236896
37,05,393425,4870661,8.077445751202967
37,06,368862,4870661,7.573140483396401
37,07,377993,4870661,7.760609904897918
37,08,378254,4870661,7.765968520494446
37,09,374214,4870661,7.683022899766582
37,10,403462,4870661,8.283516344085536
37,11,406323,4870661,8.342255804704948
37,12,443944,4870661,9.114656101091823
38,01,31793,429525,7.401897444851871
38,02,28872,429525,6.721843897328444
38,03,33033,429525,7.6905884407194
38,04,34416,429525,8.012572027239392
38,05,37355,429525,8.696816250509283
38,06,37522,429525,8.735696408823701
38,07,39650,429525,9.231127408183458
38,08,39683,429525,9.238810313718643
38,09,37353,429525,8.696350619870788
38,10,38730,429525,9.016937314475292
38,11,36122,429525,8.40975496187649
38,12,34996,429525,8.147604912403237
39,01,86208,999763,8.622843613936503
39,02,79468,999763,7.9486838380696225
39,03,84822,999763,8.484210757949635
39,04,80343,999763,8.036204580485574
39,05,83403,999763,8.342277119677362
39,06,83047,999763,8.306668680477273
39,07,88389,999763,8.840995315889867
39,08,85577,999763,8.559728655691398
39,09,79406,999763,7.942482368321293
39,10,81961,999763,8.198042936175874
39,11,80696,999763,8.071512948568811
39,12,86443,999763,8.646349184756788
40,01,34360,421134,8.158923288074579
40,02,30921,421134,7.342318596931142
40,03,35668,421134,8.469513266561238
40,04,35570,421134,8.446242763585937
40,05,37140,421134,8.819045719414722
40,06,35939,421134,8.5338633309113
40,07,37149,421134,8.821182806422659
40,08,36952,421134,8.774404346360066
40,09,35833,421134,8.508693195040058
40,10,35613,421134,8.45645329040163
40,11,33060,421134,7.850232942483864
40,12,32929,421134,7.819126453812801
41,01,15269,189552,8.055309361019667
41,02,12664,189552,6.681016291044147
41,03,14927,189552,7.874883936861653
41,04,15407,189552,8.128112602346585
41,05,16343,189552,8.621908500042204
41,06,16599,189552,8.756963788300835
41,07,17933,189552,9.460728454461046
41,08,17079,189552,9.010192453785768
41,09,15992,189552,8.436735038406347
41,10,16091,189552,8.488963450662615
41,11,15358,189552,8.102262176078332
41,12,15890,189552,8.382923946990799
42,01,5079,59467,8.540871407671482
42,02,4695,59467,7.895135116955622
